lineage	min	q1	mean	median	q3	max
1;3;48;607;2340;9842;31014;152937	0.0	0.22275	0.41075	0.3225	0.5215	0.99
1;3;48;607;2340;9842;31014;153019	0.182	0.182	0.586	0.586	0.99	0.99
1;3;48;607;2340;9842;31014;153422	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;153643	0.297	0.47025	0.6435	0.6435	0.81675	0.99
1;3;48;607;2340;9842;31014;153645	0.103	0.103	0.103	0.103	0.103	0.103
1;3;48;607;2340;9842;31014;153845	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;154025	0.016	0.503	0.6653333333333333	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;154078	0.064	0.324	0.6716	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;154214	0.033	0.11250000000000002	0.538	0.5645	0.99	0.99
1;3;48;607;2340;9842;31014;154442	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;154577	0.0	0.495	0.66	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;154725	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;154811	0.0	0.37575000000000003	0.44525000000000003	0.53	0.5995	0.721
1;3;48;607;2340;9842;31014;154997	0.315	0.8865	0.8544999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;155019	0.0	0.99	0.8193809523809524	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;155127	0.298	0.298	0.298	0.298	0.298	0.298
1;3;48;607;2340;9842;31014;155228	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;155244	0.001	0.14650000000000002	0.544	0.5925	0.99	0.99
1;3;48;607;2340;9842;31014;155292	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;155617	0.006	0.1605	0.5439615384615385	0.452	0.99	0.99
1;3;48;607;2340;9842;31014;155782	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;155842	0.0	0.207	0.5988066029830736	0.671	0.99	0.99
1;3;48;607;2340;9842;31014;155904	0.191	0.79025	0.79025	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;155947	0.063	0.29475	0.5265	0.5265	0.75825	0.99
1;3;48;607;2340;9842;31014;156266	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;156387	0.852	0.852	0.852	0.852	0.852	0.852
1;3;48;607;2340;9842;31014;156428	0.0	0.10574999999999998	0.53025	0.5655	0.99	0.99
1;3;48;607;2340;9842;31014;156885	0.089	0.11224999999999999	0.1355	0.1355	0.15875	0.182
1;3;48;607;2340;9842;31014;157001	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;157083	0.57	0.623	0.6759999999999999	0.6759999999999999	0.729	0.782
1;3;48;607;2340;9842;31014;157128	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;157155	0.567	0.67275	0.7785	0.7785	0.88425	0.99
1;3;48;607;2340;9842;31014;157224	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;157259	0.064	0.99	0.8707692307692307	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;157326	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;157479	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;157557	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;157695	0.063	0.5265	0.681	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;157767	0.141	0.141	0.141	0.141	0.141	0.141
1;3;48;607;2340;9842;31014;158358	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;158426	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;158552	0.113	0.37775000000000003	0.7265	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;159361	0.0	0.0	0.0	0.0	0.0	0.0
1;3;48;607;2340;9842;31014;159414	0.293	0.293	0.293	0.293	0.293	0.293
1;3;48;607;2340;9842;31014;160115	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;160338	0.141	0.141	0.141	0.141	0.141	0.141
1;3;48;607;2340;9842;31014;160668	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;160940	0.036	0.81575	0.783625	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;160962	0.383	0.5347500000000001	0.6865	0.6865	0.8382499999999999	0.99
1;3;48;607;2340;9842;31014;160974	0.0	0.27525	0.58675	0.6785	0.99	0.99
1;3;48;607;2340;9842;31014;161294	0.606	0.894	0.894	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;161398	0.07	0.07	0.07	0.07	0.07	0.07
1;3;48;607;2340;9842;31014;161411	0.0	0.9215	0.8234683544303798	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;161431	0.853	0.853	0.853	0.853	0.853	0.853
1;3;48;607;2340;9842;31014;161544	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;161713	0.293	0.6415	0.7576666666666666	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;161868	0.626	0.717	0.808	0.808	0.899	0.99
1;3;48;607;2340;9842;31014;161876	0.0	0.2475	0.495	0.495	0.7424999999999999	0.99
1;3;48;607;2340;9842;31014;161990	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;162081	0.072	0.1275	0.38375	0.2365	0.49275	0.99
1;3;48;607;2340;9842;31014;162082	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;162116	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;162152	0.721	0.78825	0.8554999999999999	0.8554999999999999	0.92275	0.99
1;3;48;607;2340;9842;31014;162165	0.428	0.5685	0.709	0.709	0.8494999999999999	0.99
1;3;48;607;2340;9842;31014;162174	0.182	0.23199999999999998	0.28200000000000003	0.28200000000000003	0.332	0.382
1;3;48;607;2340;9842;31014;162209	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;162844	0.089	0.31425000000000003	0.5395	0.5395	0.76475	0.99
1;3;48;607;2340;9842;31014;162880	0.131	0.30774999999999997	0.6416666666666667	0.749	0.99	0.99
1;3;48;607;2340;9842;31014;163155	0.0	0.127	0.36723076923076925	0.191	0.359	0.99
1;3;48;607;2340;9842;31014;163416	0.228	0.4395	0.6795	0.75	0.99	0.99
1;3;48;607;2340;9842;31014;163485	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;163755	0.04	0.04	0.04	0.04	0.04	0.04
1;3;48;607;2340;9842;31014;163768	0.182	0.22775	0.39399999999999996	0.27049999999999996	0.43674999999999997	0.853
1;3;48;607;2340;9842;31014;163804	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;163819	0.0	0.3095	0.6707	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;164347	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;164441	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;164456	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;164658	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;164745	0.243	0.6165	0.741	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;165146	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;165302	0.191	0.39075	0.5905	0.5905	0.79025	0.99
1;3;48;607;2340;9842;31014;165859	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;165935	0.0	0.293	0.7184166666666667	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;166057	0.233	0.233	0.233	0.233	0.233	0.233
1;3;48;607;2340;9842;31014;166272	0.0	0.00375	0.38133333333333336	0.154	0.81575	0.99
1;3;48;607;2340;9842;31014;166351	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;166487	0.154	0.202	0.5505	0.489	0.92825	0.99
1;3;48;607;2340;9842;31014;166737	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;166760	0.127	0.21	0.47	0.293	0.6415	0.99
1;3;48;607;2340;9842;31014;167097	0.076	0.076	0.076	0.076	0.076	0.076
1;3;48;607;2340;9842;31014;167111	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;167483	0.152	0.3615	0.571	0.571	0.7805	0.99
1;3;48;607;2340;9842;31014;167553	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;167588	0.0	0.25225000000000003	0.5961666666666666	0.698	0.99	0.99
1;3;48;607;2340;9842;31014;168059	0.392	0.5415	0.6910000000000001	0.6910000000000001	0.8405	0.99
1;3;48;607;2340;9842;31014;168352	0.072	0.7605	0.7605	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;168390	0.0	0.16999999999999998	0.6037	0.8394999999999999	0.99	0.99
1;3;48;607;2340;9842;31014;168439	0.606	0.99	0.926	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;168651	0.113	0.588	0.7502857142857143	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;168879	0.089	0.089	0.089	0.089	0.089	0.089
1;3;48;607;2340;9842;31014;169007	0.173	0.173	0.173	0.173	0.173	0.173
1;3;48;607;2340;9842;31014;169049	0.483	0.483	0.483	0.483	0.483	0.483
1;3;48;607;2340;9842;31014;169155	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;169225	0.127	0.2515	0.56575	0.573	0.88725	0.99
1;3;48;607;2340;9842;31014;169365	0.118	0.18775	0.437	0.32	0.56925	0.99
1;3;48;607;2340;9842;31014;169533	0.0	0.407	0.7495555555555555	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;169558	0.001	0.113	0.348	0.281	0.469	0.99
1;3;48;607;2340;9842;31014;169580	0.12	0.25925	0.5966	0.5875	0.99	0.99
1;3;48;607;2340;9842;31014;169710	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;170037	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;170865	0.142	0.17075	0.3861666666666667	0.20800000000000002	0.51	0.99
1;3;48;607;2340;9842;31014;170999	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;171062	0.51	0.99	0.9214285714285715	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;171089	0.359	0.6745	0.7796666666666666	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;171322	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;171408	0.0	0.429	0.7460769230769231	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;171418	0.182	0.384	0.586	0.586	0.788	0.99
1;3;48;607;2340;9842;31014;171783	0.191	0.468	0.682	0.771	0.99	0.99
1;3;48;607;2340;9842;31014;171951	0.0	0.136	0.6007272727272727	0.598	0.99	0.99
1;3;48;607;2340;9842;31014;172086	0.296	0.296	0.296	0.296	0.296	0.296
1;3;48;607;2340;9842;31014;172125	0.074	0.15425	0.23450000000000001	0.23450000000000001	0.31475000000000003	0.395
1;3;48;607;2340;9842;31014;172224	0.359	0.99	0.8848333333333334	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;172283	0.243	0.243	0.243	0.243	0.243	0.243
1;3;48;607;2340;9842;31014;172322	0.516	0.516	0.516	0.516	0.516	0.516
1;3;48;607;2340;9842;31014;173003	0.0	0.838	0.7615999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;173035	0.036	0.513	0.672	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;173076	0.06	0.11299999999999999	0.2735	0.241	0.34425	0.65
1;3;48;607;2340;9842;31014;173106	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;173387	0.852	0.921	0.944	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;173405	0.196	0.1975	0.38433333333333336	0.199	0.47850000000000004	0.758
1;3;48;607;2340;9842;31014;173433	0.0	0.11474999999999999	0.616875	0.894	0.99	0.99
1;3;48;607;2340;9842;31014;173440	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;173460	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;173569	0.721	0.721	0.721	0.721	0.721	0.721
1;3;48;607;2340;9842;31014;173813	0.0	0.85225	0.7743461538461538	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;173883	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;173937	0.036	0.19549999999999998	0.4603333333333333	0.355	0.6725	0.99
1;3;48;607;2340;9842;31014;174068	0.182	0.99	0.8640769230769231	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;174144	0.721	0.92275	0.92275	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;174509	0.429	0.84975	0.84975	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;174944	0.44	0.5775	0.715	0.715	0.8525	0.99
1;3;48;607;2340;9842;31014;175013	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;175023	0.182	0.36724999999999997	0.64775	0.7095	0.99	0.99
1;3;48;607;2340;9842;31014;175258	0.09	0.34750000000000003	0.7218571428571429	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;175265	0.0	0.1945	0.56875	0.644	0.99	0.99
1;3;48;607;2340;9842;31014;175406	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;175568	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;175736	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;176152	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;176251	0.008	0.2535	0.499	0.499	0.7444999999999999	0.99
1;3;48;607;2340;9842;31014;176258	0.429	0.5285	0.6823333333333333	0.628	0.8089999999999999	0.99
1;3;48;607;2340;9842;31014;176605	0.083	0.5905	0.7462857142857143	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;176781	0.123	0.123	0.123	0.123	0.123	0.123
1;3;48;607;2340;9842;31014;176877	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;177105	0.0	0.0675	0.34325	0.1915	0.46725	0.99
1;3;48;607;2340;9842;31014;177133	0.293	0.4495	0.6296666666666667	0.606	0.798	0.99
1;3;48;607;2340;9842;31014;177196	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;177218	0.0	0.059750000000000004	0.4115	0.16749999999999998	0.99	0.99
1;3;48;607;2340;9842;31014;177385	0.0	0.58875	0.7358333333333333	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;177500	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;177536	0.093	0.143	0.193	0.193	0.243	0.293
1;3;48;607;2340;9842;31014;177647	0.006	0.33099999999999996	0.581	0.602	0.99	0.99
1;3;48;607;2340;9842;31014;177865	0.127	0.27949999999999997	0.675	0.9015	0.99	0.99
1;3;48;607;2340;9842;31014;177987	0.112	0.11900000000000001	0.126	0.126	0.133	0.14
1;3;48;607;2340;9842;31014;178052	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;178099	0.141	0.255	0.6034999999999999	0.6415	0.99	0.99
1;3;48;607;2340;9842;31014;178297	0.293	0.46725	0.6415	0.6415	0.81575	0.99
1;3;48;607;2340;9842;31014;178438	0.721	0.78825	0.8554999999999999	0.8554999999999999	0.92275	0.99
1;3;48;607;2340;9842;31014;178558	0.429	0.56925	0.7095	0.7095	0.84975	0.99
1;3;48;607;2340;9842;31014;178617	0.0	0.0	0.0	0.0	0.0	0.0
1;3;48;607;2340;9842;31014;178711	0.226	0.31325000000000003	0.40049999999999997	0.40049999999999997	0.48774999999999996	0.575
1;3;48;607;2340;9842;31014;179065	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;179282	0.51	0.63	0.75	0.75	0.87	0.99
1;3;48;607;2340;9842;31014;179292	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;179516	0.293	0.46725	0.6415	0.6415	0.81575	0.99
1;3;48;607;2340;9842;31014;179527	0.0	0.495	0.66	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;179601	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;179638	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;179729	0.09	0.142	0.194	0.194	0.246	0.298
1;3;48;607;2340;9842;31014;179961	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;180468	0.456	0.456	0.456	0.456	0.456	0.456
1;3;48;607;2340;9842;31014;180923	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;180989	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;181202	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;181267	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;181675	0.561	0.561	0.561	0.561	0.561	0.561
1;3;48;607;2340;9842;31014;181697	0.127	0.127	0.127	0.127	0.127	0.127
1;3;48;607;2340;9842;31014;181762	0.0	0.495	0.66	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;181823	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;182314	0.609	0.609	0.609	0.609	0.609	0.609
1;3;48;607;2340;9842;31014;182573	0.0	0.23625	0.5593333333333333	0.6154999999999999	0.92275	0.99
1;3;48;607;2340;9842;31014;182599	0.064	0.11950000000000001	0.5455	0.5640000000000001	0.99	0.99
1;3;48;607;2340;9842;31014;182784	0.242	0.242	0.242	0.242	0.242	0.242
1;3;48;607;2340;9842;31014;182892	0.4	0.99	0.8720000000000001	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;182924	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;183325	0.606	0.606	0.606	0.606	0.606	0.606
1;3;48;607;2340;9842;31014;183404	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;183804	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;184116	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;184119	0.604	0.604	0.604	0.604	0.604	0.604
1;3;48;607;2340;9842;31014;184526	0.215	0.40875	0.6025	0.6025	0.79625	0.99
1;3;48;607;2340;9842;31014;184666	0.178	0.26425	0.61275	0.6415	0.99	0.99
1;3;48;607;2340;9842;31014;184714	0.0	0.702	0.774576923076923	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;184842	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;185176	0.0	0.0	0.0	0.0	0.0	0.0
1;3;48;607;2340;9842;31014;185531	0.0	0.0	0.0	0.0	0.0	0.0
1;3;48;607;2340;9842;31014;185772	0.852	0.8865	0.921	0.921	0.9555	0.99
1;3;48;607;2340;9842;31014;186115	0.149	0.92275	0.8614999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;186138	0.329	0.344	0.5593333333333333	0.359	0.6745	0.99
1;3;48;607;2340;9842;31014;186502	0.129	0.77475	0.77475	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;186517	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;186530	0.0	0.141	0.33340000000000003	0.243	0.293	0.99
1;3;48;607;2340;9842;31014;186558	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;186560	0.0	0.038	0.076	0.076	0.11399999999999999	0.152
1;3;48;607;2340;9842;31014;187112	0.852	0.8865	0.921	0.921	0.9555	0.99
1;3;48;607;2340;9842;31014;187135	0.243	0.5725	0.764	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;187794	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;188001	0.029	0.32175	0.6813333333333333	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;188050	0.182	0.182	0.182	0.182	0.182	0.182
1;3;48;607;2340;9842;31014;188069	0.002	0.101	0.529	0.562	0.99	0.99
1;3;48;607;2340;9842;31014;188100	0.197	0.428	0.719	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;188797	0.0	0.27049999999999996	0.6908421052631578	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;189105	0.041	0.51675	0.7743571428571429	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;189243	0.171	0.37575000000000003	0.5805	0.5805	0.78525	0.99
1;3;48;607;2340;9842;31014;189245	0.0	0.0155	0.031	0.031	0.0465	0.062
1;3;48;607;2340;9842;31014;189346	0.335	0.6625	0.7716666666666666	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;189386	0.0	0.148	0.5264722222222222	0.447	0.99	0.99
1;3;48;607;2340;9842;31014;189444	0.231	0.4185	0.609	0.606	0.798	0.99
1;3;48;607;2340;9842;31014;189474	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;189491	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;189628	0.606	0.78825	0.8811666666666667	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;189684	0.127	0.333	0.6959166666666666	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;189733	0.208	0.27549999999999997	0.48125	0.3635	0.56925	0.99
1;3;48;607;2340;9842;31014;189827	0.036	0.036	0.036	0.036	0.036	0.036
1;3;48;607;2340;9842;31014;190027	0.202	0.596	0.7273333333333333	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;190468	0.547	0.704	0.7993333333333333	0.861	0.9255	0.99
1;3;48;607;2340;9842;31014;190687	0.243	0.484	0.7394000000000001	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;190755	0.51	0.63	0.75	0.75	0.87	0.99
1;3;48;607;2340;9842;31014;190927	0.293	0.99	0.8738333333333334	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;191041	0.0	0.41375	0.7168	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;191112	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;191497	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;191512	0.0	0.293	0.6773453038674033	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;191581	0.0	0.4455	0.7633333333333333	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;191650	0.042	0.09	0.5969	0.869	0.99	0.99
1;3;48;607;2340;9842;31014;191828	0.065	0.276	0.6987692307692307	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;191906	0.137	0.721	0.7656	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;192033	0.0	0.1155	0.4811174496644295	0.3575	0.99	0.99
1;3;48;607;2340;9842;31014;192048	0.243	0.48825	0.754	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;192077	0.0	0.173	0.4944530386740331	0.306	0.99	0.99
1;3;48;607;2340;9842;31014;192110	0.0	0.495	0.66	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;192177	0.99	0.99	0.9899999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;192277	0.0	0.181	0.5597894736842105	0.37	0.99	0.99
1;3;48;607;2340;9842;31014;192295	0.182	0.384	0.586	0.586	0.788	0.99
1;3;48;607;2340;9842;31014;192365	0.32	0.99	0.8560000000000001	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;192371	0.298	0.298	0.298	0.298	0.298	0.298
1;3;48;607;2340;9842;31014;192586	0.127	0.78825	0.855642857142857	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;192715	0.127	0.19	0.6069	0.6895	0.99	0.99
1;3;48;607;2340;9842;31014;192872	0.0	0.99	0.792	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;192886	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;192940	0.182	0.2895	0.5278571428571428	0.293	0.8255	0.99
1;3;48;607;2340;9842;31014;193055	0.0	0.0	0.0	0.0	0.0	0.0
1;3;48;607;2340;9842;31014;80306	0.0	0.11049999999999999	0.45438181818181816	0.314	0.9155	0.99
1;3;48;607;2340;9842;31014;80347	0.012	0.1275	0.415	0.243	0.6165	0.99
1;3;48;607;2340;9842;31014;80699	0.0	0.37124999999999997	0.6818	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;80724	0.089	0.503	0.6775	0.8155	0.99	0.99
1;3;48;607;2340;9842;31014;80755	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;81127	0.191	0.191	0.191	0.191	0.191	0.191
1;3;48;607;2340;9842;31014;81362	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;81378	0.0	0.1545	0.5465	0.598	0.99	0.99
1;3;48;607;2340;9842;31014;81435	0.238	0.426	0.614	0.614	0.802	0.99
1;3;48;607;2340;9842;31014;81445	0.298	0.93375	0.875375	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;81470	0.089	0.31425000000000003	0.5395	0.5395	0.76475	0.99
1;3;48;607;2340;9842;31014;81527	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;81574	0.0	0.182	0.6728235294117647	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;81604	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;81720	0.251	0.484	0.6526666666666666	0.717	0.8534999999999999	0.99
1;3;48;607;2340;9842;31014;82145	0.181	0.38325	0.5855	0.5855	0.78775	0.99
1;3;48;607;2340;9842;31014;82178	0.148	0.25175000000000003	0.6231666666666666	0.709	0.99	0.99
1;3;48;607;2340;9842;31014;82205	0.095	0.99	0.8109999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;82209	0.109	0.5495	0.6963333333333334	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;82303	0.07	0.07	0.07	0.07	0.07	0.07
1;3;48;607;2340;9842;31014;82417	0.0	0.0	0.0	0.0	0.0	0.0
1;3;48;607;2340;9842;31014;82612	0.461	0.59325	0.7255	0.7255	0.85775	0.99
1;3;48;607;2340;9842;31014;82739	0.228	0.228	0.228	0.228	0.228	0.228
1;3;48;607;2340;9842;31014;82870	0.0	0.0	0.0	0.0	0.0	0.0
1;3;48;607;2340;9842;31014;82929	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;83287	0.016	0.1295	0.4163333333333334	0.243	0.6165	0.99
1;3;48;607;2340;9842;31014;83961	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;84143	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;84290	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;84757	0.99	0.99	0.99	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;84798	0.0	0.11	0.5733695652173914	0.668	0.99	0.99
1;3;48;607;2340;9842;31014;84845	0.0	0.7424999999999999	0.7424999999999999	0.99	0.99	0.99
1;3;48;607;2340;9842;31014;84846	0.239	0.239	0.239	0.239	0.239	0.239
1;3;48;607;2340;9842;31014;85262	0.99	0.99	0.99	0.99	0.99	0.99
