lineage	min	q1	mean	median	q3	max
1;2;194;1090;2896;6652;21882;97498	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;6652;23079;121033	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;6652;23079;170783	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;6652;26512;89306	0.15	0.16799999999999998	0.186	0.186	0.20400000000000001	0.222
1;2;194;1090;2896;6652;36910;100616	0.163	0.163	0.163	0.163	0.163	0.163
1;2;194;1090;2896;6652;36910;122770	0.104	0.10975	0.11549999999999999	0.11549999999999999	0.12125	0.127
1;2;194;1090;2896;6652;36910;186627	0.182	0.359	0.5973333333333333	0.544	0.99	0.99
1;2;194;1090;2896;7751;22106;130341	0.0	0.0465	0.1615	0.0915	0.20650000000000002	0.463
1;2;194;1090;2896;7751;23699;118365	0.0	0.0	0.4178	0.109	0.99	0.99
1;2;194;1090;2896;7751;23699;120833	0.0	0.31	0.7272094361334869	0.99	0.99	0.99
1;2;194;1090;2896;7751;23699;122710	0.15	0.36	0.57	0.57	0.78	0.99
1;2;194;1090;2896;7751;23699;139040	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7751;23699;141565	0.0	0.51	0.7460392156862745	0.99	0.99	0.99
1;2;194;1090;2896;7751;23699;142500	0.0	0.19075	0.5960624999999999	0.7769999999999999	0.99	0.99
1;2;194;1090;2896;7751;23699;164011	0.04	0.245	0.5853333333333334	0.626	0.99	0.99
1;2;194;1090;2896;7751;23699;169745	0.086	0.18425	0.40233333333333327	0.275	0.54425	0.99
1;2;194;1090;2896;7751;23699;93234	0.141	0.21699999999999997	0.4746666666666666	0.293	0.6415	0.99
1;2;194;1090;2896;7751;23752;143329	0.102	0.102	0.102	0.102	0.102	0.102
1;2;194;1090;2896;7751;23752;174982	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7751;28794;161434*	0.606	0.702	0.798	0.798	0.894	0.99
1;2;194;1090;2896;7751;30318;100606	0.132	0.132	0.132	0.132	0.132	0.132
1;2;194;1090;2896;7751;30318;112039	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7751;30318;114813	0.354	0.513	0.6719999999999999	0.6719999999999999	0.831	0.99
1;2;194;1090;2896;7751;30318;122755	0.058	0.34725	0.6385	0.75	0.99	0.99
1;2;194;1090;2896;7751;30318;125050	0.456	0.456	0.456	0.456	0.456	0.456
1;2;194;1090;2896;7751;30318;128165	0.191	0.191	0.191	0.191	0.191	0.191
1;2;194;1090;2896;7751;30318;180691	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7751;30318;181127	0.359	0.359	0.359	0.359	0.359	0.359
1;2;194;1090;2896;7751;30318;188284	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7751;30318;191517	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7751;30318;84965	0.0	0.03175	0.0635	0.0635	0.09525	0.127
1;2;194;1090;2896;7751;30318;90472	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7751;33503;150315	0.269	0.44925000000000004	0.6295	0.6295	0.80975	0.99
1;2;194;1090;2896;7751;33503;159483	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7751;34112;122004*	0.293	0.46725	0.6415	0.6415	0.81575	0.99
1;2;194;1090;2896;7751;37279;102731*	0.0	0.0	0.0	0.0	0.0	0.0
1;2;194;1090;2896;7751;37618;181877	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7751;37618;183382	0.547	0.547	0.547	0.547	0.547	0.547
1;2;194;1090;2896;7751;41454;132669*	0.09	0.14775	0.55925	0.5785	0.99	0.99
1;2;194;1090;2896;7751;43899;102805	0.188	0.188	0.188	0.188	0.188	0.188
1;2;194;1090;2896;7751;43899;126750	0.216	0.2185	0.231	0.221	0.2385	0.256
1;2;194;1090;2896;7751;43899;159110	0.51	0.51	0.51	0.51	0.51	0.51
1;2;194;1090;2896;7751;43899;162974	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7918;28270;139224	0.411	0.415	0.6066666666666667	0.419	0.7045	0.99
1;2;194;1090;2896;7918;28270;157387	0.203	0.203	0.203	0.203	0.203	0.203
1;2;194;1090;2896;7918;28499;115669*	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7918;34465;103082	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;7918;34465;109791	0.127	0.127	0.127	0.127	0.127	0.127
1;2;194;1090;2896;7918;34465;144123	0.638	0.638	0.638	0.638	0.638	0.638
1;2;194;1090;2896;7918;34465;155037	0.173	0.45375	0.7346666666666667	0.99	0.99	0.99
1;2;194;1090;2896;7918;34465;158228	0.708	0.708	0.708	0.708	0.708	0.708
1;2;194;1090;2896;7918;34465;89981	0.375	0.375	0.375	0.375	0.375	0.375
1;2;194;1090;2896;7918;34465;91346	0.121	0.361	0.5706666666666667	0.601	0.7955	0.99
1;2;194;1090;2896;8790;23064;128693	0.0	0.47250000000000003	0.743	0.99	0.99	0.99
1;2;194;1090;2896;8790;23064;156769	0.152	0.23750000000000002	0.546	0.521	0.8295	0.99
1;2;194;1090;2896;8790;23064;174552	0.99	0.99	0.99	0.99	0.99	0.99
1;2;194;1090;2896;8790;23064;85126	0.127	0.301	0.6165	0.6745	0.99	0.99
